YearMonth,front_1_select,front_2_select,front_3_select,front_4_select,front_5_select,front_6_select,front_7_select,front_8_select,front_9_select,front_10_select,front_11_select,front_12_select,front_13_select,front_14_select,front_15_select,back_1_select,back_2_select,back_3_select,back_4_select,back_5_select,back_6_select,back_7_select,back_8_select,back_9_select,back_10_select,back_11_select,back_12_select,back_13_select,back_14_select,back_15_select
2022-05,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2022-06,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2022-07,SHY,SHY,SHY,SHY,SHY,SHY,SHY,IEF,IEF,IEF,IEF,IEF,IEF,LQD,LQD,LQD,IEF,IEF,IEF,IEF,IEF,LQD,IEF,IEF,IEF,IEF,IEF,IEF,IEF,SHY
2022-08,LQD,LQD,LQD,LQD,IEF,LQD,IEF,LQD,LQD,LQD,SPY,IEF,IEF,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,LQD,SHY,SPY,LQD,SPY,LQD
2022-09,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2022-10,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2022-11,SHY,SHY,SHY,SHY,SHY,SHY,SHY,LQD,LQD,LQD,EFA,EFA,EFA,EFA,EFA,EEM,LQD,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,LQD,LQD,LQD,SHY
2022-12,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,LQD,LQD,LQD,SHY,LQD,SHY,SHY,SHY,SHY,SHY,SHY,LQD,SHY,LQD,LQD,LQD,EFA,EFA,EFA,EFA
2023-01,SHY,SHY,SHY,SHY,SHY,SHY,EEM,LQD,LQD,SHY,EFA,EFA,EFA,EEM,EEM,EFA,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EFA,EFA,SHY,LQD,LQD,LQD,SHY
2023-02,EFA,EFA,EFA,LQD,LQD,LQD,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,LQD
2023-03,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,IEF,IEF,IEF,IEF,LQD,EFA,EFA,EFA,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,SHY,SHY,SHY,SHY
2023-04,EFA,EFA,IEF,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,LQD,LQD,LQD,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA
2023-05,SHY,IEF,IEF,IEF,EFA,EFA,EFA,IEF,IEF,IEF,IEF,IEF,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,IEF,SHY,IEF,SHY,IEF,EFA
2023-06,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,LQD,LQD,LQD,LQD,SPY,SPY,LQD,LQD,SPY,SPY,SPY,SPY,SPY,SPY,SPY,LQD,LQD,LQD,SHY,SHY,SHY
2023-07,LQD,LQD,SHY,SHY,LQD,LQD,LQD,SPY,SPY,SPY,LQD,SPY,SHY,LQD,LQD,SHY,SHY,SHY,LQD,SHY,LQD,SPY,SHY,SPY,SPY,SHY,SPY,SPY,LQD,LQD
2023-08,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2023-09,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,LQD,LQD,LQD,SHY,LQD,SHY,SHY,SHY,SHY,SHY,SHY,SHY,LQD,SPY,LQD,LQD,SPY,SPY,SHY,SHY
2023-10,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2023-11,SHY,SPY,EFA,SPY,SPY,SPY,LQD,SHY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SHY
2023-12,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,LQD,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,EFA,SPY
2024-01,SPY,SPY,EFA,SPY,SPY,SPY,SPY,SPY,SPY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SPY,SPY,SPY
2024-02,LQD,LQD,LQD,SPY,SPY,SHY,SPY,SHY,SHY,SHY,SPY,SPY,SPY,SHY,SPY,SHY,SHY,SHY,SPY,SPY,SPY,SHY,SPY,SPY,SPY,SPY,SHY,SHY,SHY,SPY
2024-03,SHY,SHY,SPY,SPY,EFA,EFA,EFA,EFA,EFA,SPY,EFA,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,EFA,SPY,EFA,EFA,EFA,EFA
2024-04,SPY,SPY,SPY,SPY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2024-05,SHY,SHY,SHY,LQD,EEM,SPY,SPY,SPY,EEM,EEM,EEM,EEM,EEM,EEM,SPY,SPY,SPY,SPY,SPY,SPY,EEM,SPY,SPY,EEM,EEM,EEM,EEM,EEM,EEM,SPY
2024-06,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,LQD,LQD,SPY,LQD,IEF,LQD,SHY,SPY,SPY,SPY,SPY,SPY,SPY,LQD,IEF,LQD,LQD,LQD,LQD,SPY,SPY
2024-07,SHY,SHY,SPY,SPY,SPY,SPY,SPY,EEM,EEM,SPY,SPY,SPY,SPY,SPY,SPY,SPY,EFA,SPY,SPY,SHY,EFA,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,EEM
2024-08,AGG,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,LQD,SPY,SPY,SPY,SPY,SPY,EFA,EFA,EFA,SPY,EFA,SPY,SPY,SPY,SPY,SPY,LQD,IEF,IEF,IEF
2024-09,EFA,EFA,EFA,EFA,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,EEM,EEM,EEM,EEM,EEM,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
2024-10,EEM,EEM,EEM,EEM,EEM,EEM,LQD,LQD,SHY,SHY,EEM,EEM,EEM,EEM,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,EEM,EEM,SHY,SHY
2024-11,SHY,SHY,SHY,SHY,SPY,LQD,LQD,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,LQD,LQD,LQD,LQD,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,LQD,LQD
2024-12,LQD,LQD,LQD,SPY,LQD,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SPY,SPY,SPY,SPY,SPY,SPY
2025-01,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SPY,SPY,SPY,SPY,EFA,EFA,EFA,LQD,SPY,SPY,SPY,SPY,SHY,SHY,SHY,SHY,SHY,SHY
2025-02,SPY,EFA,EFA,SPY,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EEM,EEM,EEM,EEM,EFA,IEF,EEM,EEM,EEM,EEM,EEM,EEM,EFA,EFA,EFA,EFA,EFA,EEM,EFA
2025-03,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,SHY,SHY,SHY,SHY,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
