Params,Name,Value1,Value2
"(0, 20, 50, 60)",back_3,7.13,0.12
"(0, 20, 50, 70)",front_4,7.51,0.12
"(0, 20, 50, 80)",front_4,7.35,0.12
"(0, 20, 50, 90)",front_4,7.55,0.12
"(0, 20, 50, 100)",front_4,8.03,0.12
"(0, 20, 60, 0)",back_10,5.6,0.11
"(0, 20, 60, 10)",front_11,6.79,0.12
"(0, 20, 60, 20)",front_10,6.87,0.12
"(0, 20, 60, 30)",front_10,7.43,0.12
"(0, 20, 60, 40)",back_3,6.87,0.12
"(0, 20, 60, 50)",back_3,7.29,0.12
"(0, 20, 60, 60)",back_3,6.98,0.12
"(0, 20, 60, 70)",back_3,6.76,0.11
"(0, 20, 60, 80)",front_4,7.27,0.12
"(0, 20, 60, 90)",front_4,7.82,0.12
"(0, 20, 60, 100)",front_4,7.69,0.12
"(0, 20, 70, 0)",back_10,5.51,0.11
"(0, 20, 70, 10)",front_11,6.81,0.12
"(0, 20, 70, 20)",back_10,6.35,0.11
"(0, 20, 70, 30)",front_11,7.02,0.12
"(0, 20, 70, 40)",front_10,6.47,0.11
"(0, 20, 70, 50)",back_3,6.45,0.11
"(0, 20, 70, 60)",back_3,6.89,0.12
"(0, 20, 70, 70)",back_3,7.03,0.12
"(0, 20, 70, 80)",back_9,6.31,0.11
"(0, 20, 70, 90)",back_3,6.33,0.11
"(0, 20, 70, 100)",back_3,6.77,0.12
"(0, 20, 80, 0)",back_10,5.93,0.11
"(0, 20, 80, 10)",back_3,6.58,0.11
"(0, 20, 80, 20)",back_3,6.38,0.11
"(0, 20, 80, 30)",front_10,7.56,0.12
"(0, 20, 80, 40)",back_6,6.41,0.11
"(0, 20, 80, 50)",front_11,6.45,0.11
"(0, 20, 80, 60)",back_3,6.35,0.11
"(0, 20, 80, 70)",back_3,6.31,0.11
"(0, 20, 80, 80)",front_7,6.33,0.11
"(0, 20, 80, 90)",back_9,6.31,0.11
"(0, 20, 80, 100)",back_9,6.3,0.11
"(0, 20, 90, 0)",front_10,5.96,0.11
"(0, 20, 90, 10)",front_10,6.88,0.11
"(0, 20, 90, 20)",back_3,6.15,0.11
"(0, 20, 90, 30)",front_10,7.89,0.12
"(0, 20, 90, 40)",front_10,6.83,0.12
"(0, 20, 90, 50)",back_3,6.4,0.11
"(0, 20, 90, 60)",front_11,6.18,0.11
"(0, 20, 90, 70)",front_10,6.21,0.11
"(0, 20, 90, 80)",back_9,6.02,0.11
"(0, 20, 90, 90)",front_7,6.33,0.11
"(0, 20, 90, 100)",back_3,6.13,0.11
"(0, 20, 100, 0)",back_10,6.34,0.11
"(0, 20, 100, 10)",back_10,7.11,0.12
"(0, 20, 100, 20)",back_3,5.93,0.11
"(0, 20, 100, 30)",back_8,6.55,0.12
"(0, 20, 100, 40)",front_10,6.95,0.12
"(0, 20, 100, 50)",front_10,6.52,0.11
"(0, 20, 100, 60)",front_10,7.18,0.12
"(0, 20, 100, 70)",front_13,6.11,0.11
"(0, 20, 100, 80)",front_10,6.51,0.11
"(0, 20, 100, 90)",back_9,5.83,0.11
"(0, 20, 100, 100)",front_7,6.34,0.11
"(0, 30, 0, 0)",back_6,6.76,0.12
"(0, 30, 0, 10)",back_3,9.68,0.13
"(0, 30, 0, 20)",back_5,12.67,0.15
"(0, 30, 0, 30)",back_5,9.97,0.13
"(0, 30, 0, 40)",back_4,9.42,0.13
"(0, 30, 0, 50)",front_9,9.84,0.13
"(0, 30, 0, 60)",front_9,9.32,0.13
"(0, 30, 0, 70)",front_9,9.21,0.13
"(0, 30, 0, 80)",front_9,9.16,0.13
"(0, 30, 0, 90)",front_9,9.35,0.13
"(0, 30, 0, 100)",front_9,9.05,0.13
"(0, 30, 10, 0)",front_15,6.45,0.11
"(0, 30, 10, 10)",back_6,10.43,0.14
"(0, 30, 10, 20)",back_3,10.14,0.13
"(0, 30, 10, 30)",back_4,10.62,0.14
"(0, 30, 10, 40)",back_3,8.86,0.13
"(0, 30, 10, 50)",front_8,9.89,0.13
"(0, 30, 10, 60)",back_15,9.32,0.13
"(0, 30, 10, 70)",front_9,9.39,0.13
"(0, 30, 10, 80)",front_9,9.47,0.13
"(0, 30, 10, 90)",front_9,9.31,0.13
"(0, 30, 10, 100)",front_9,9.21,0.13
"(0, 30, 20, 0)",back_8,7.2,0.12
"(0, 30, 20, 10)",back_3,10.85,0.14
"(0, 30, 20, 20)",back_3,9.33,0.13
"(0, 30, 20, 30)",back_3,8.57,0.13
"(0, 30, 20, 40)",front_12,7.81,0.12
"(0, 30, 20, 50)",front_2,9.04,0.13
"(0, 30, 20, 60)",front_8,9.19,0.13
"(0, 30, 20, 70)",front_4,9.64,0.13
"(0, 30, 20, 80)",front_9,8.77,0.13
"(0, 30, 20, 90)",front_9,8.65,0.13
"(0, 30, 20, 100)",front_9,8.25,0.12
"(0, 30, 30, 0)",back_2,7.51,0.12
